Stock Symbol,change in value
MMM,0.158968
ABT,0.099357
ABBV,-0.108901
ACN,0.119995
ATVI,-0.369999
AYI,-1.928776
ADBE,-0.730003
AAP,-1.160004
AES,-0.079158
AET,-0.439102
AMG,1.368273
AFL,-0.228591
A,-0.079998
APD,-0.549988
AKAM,-0.360001
ALK,0.199386
ALB,-0.986924
AA,-0.809999
ALXN,-1.279999
ALLE,-0.768343
AGN,2.792054
ADS,-0.748282
LNT,-0.297441
ALL,-0.159261
GOOGL,-10.429993
GOOG,-10.969971
MO,-0.228161
AMZN,-15.280029
AEE,-0.09919
AAL,-0.558759
AEP,-0.317047
AXP,0.159325
AIG,-0.189039
AMT,-0.709999
AWK,-0.358151
AMP,1.013712
ABC,-1.145391
AME,-0.059901
AMGN,-1.559238
APH,-0.399111
APC,-0.379697
ADI,-0.954783
ANTM,-0.986114
AON,0.10968
APA,-0.398413
AIV,0.744047
AAPL,-0.906076
AMAT,-0.38889
ADM,0.287914
AJG,0.119177
AIZ,0.188979
T,-0.128507
ADSK,-0.970001
ADP,-0.666335
AN,-0.029998
AZO,-8.700012
AVGO,-3.085995
AVB,1.549988
AVY,-0.397958
BHI,0.249321
BLL,-0.618899
BAC,0.099696
BCR,0.529411
BAX,0.079797
BBT,0.29806
BDX,-0.59761
BBBY,-0.229272
BRK-B,-0.070007
BBY,-0.397029
BIIB,-3.450012
BLK,1.530331
HRB,-0.227833
BA,-0.00992399999998
BWA,-0.049835
BXP,2.110001
BSX,-0.070002
BMY,-0.456985
BF-B,-0.209215
CHRW,-0.46737
CA,-0.367037
COG,0.619442
CPB,-0.477232
COF,0.129404
CAH,-0.379997
KMX,0.489997
CCL,0.069561
CAT,-0.545477
CBG,0.34
CBS,-0.87767
CELG,-1.18
CNC,-0.320004
CNP,-0.089096
CTL,-0.244435
CERN,-0.549999
CF,-0.416531
SCHW,-0.109779
CHK,-0.14
CVX,-0.118865
CMG,0.710022
CB,-0.12001
CHD,-0.627548
CI,-2.109445
XEC,-0.419758
CINF,-0.119204
CTAS,-0.760002
CSCO,-0.237956
C,0.049856
CFG,0.348661
CTXS,-0.565376
CME,-0.238716
CMS,-0.148829
COH,0.009913
CTSH,-0.150001
CL,-0.44741
CMCSA,-0.382496
CMA,0.189397
CAG,-0.228827
CXO,-1.539993
COP,-0.397873
ED,-0.386399
STZ,-0.428859
GLW,-0.169044
COST,-1.017264
CCI,-0.237463
CSRA,-0.100001
CSX,-0.297745
CMI,0.248341
CVS,-0.089456
DHI,-0.199332
DHR,-0.380005
DRI,-1.051791
DVA,-0.160004
DE,-0.169998
DLPH,-0.009961
DAL,-0.119527
XRAY,-0.52
DVN,-0.279586
DO,-0.179998
DLR,-0.148659
DFS,0.238959
DISCA,-0.280001
DISCK,-0.229999
DG,-0.059997
DLTR,-0.159996
D,-0.396112
DOV,-0.258577
DOW,-0.199997
DPS,-0.288223
DTE,-0.41662
DD,-0.407978
DUK,-0.395612
DNB,-0.418049
ETFC,0.060002
EMN,-0.307961
ETN,-0.515744
EBAY,-0.289999
ECL,-0.48855
EIX,-0.290001
EW,-0.010002
EA,-1.400002
EMR,-0.446633
ENDP,0.789999
ETR,-0.029634
EOG,-0.179712
EQT,-0.219896
EFX,-0.438686
EQIX,0.318293
EQR,0.680001
ESS,2.979996
EL,-0.776843
ES,-0.337249
EXC,-0.227845
EXPE,-0.688412
EXPD,-0.120003
ESRX,-0.599998
EXR,1.632782
XOM,-0.089181
FFIV,-0.199997
FB,-1.299995
FAST,-0.228533
FRT,2.044157
FDX,-0.748444
FIS,-1.355217
FITB,0.239999
FSLR,-0.48
FE,-0.148199
FISV,-1.0
FLIR,-0.169308
FLS,0.0
FLR,0.049813
FMC,-0.199997
FTI,-0.02
FL,0.0
F,-0.098413
FTV,-0.37954
FBHS,-0.58815
BEN,0.170002
FCX,-0.29
FTR,0.019214
GPS,-0.059999
GRMN,-0.514946
GD,-0.547627
GE,-0.109128
GGP,0.47
GIS,-0.585451
GM,-0.296961
GPC,-0.903428
GILD,-0.516026
GPN,-0.409944
GS,1.266694
GT,-0.259167
GWW,-1.283808
HAL,0.049829
HBI,-0.079407
HOG,0.178855
HAR,0.099692
HRS,-0.636916
HIG,-0.069676
HAS,-0.139135
HCA,0.129998
HCP,0.35566
HP,-0.762238
HSIC,-1.409988
HES,-0.606785
HPE,-0.19942
HOLX,0.039997
HD,-1.013834
HON,-0.149201
HRL,-0.427916
HST,0.09
HPQ,-0.099233
HUM,1.108415
HBAN,0.139196
ITW,-0.029999
ILMN,-0.680008
IR,-0.527335
INTC,-0.387235
ICE,-0.069772
IBM,-0.605215
IP,-0.307284
IPG,-0.228314
IFF,-1.07
INTU,-0.309087
ISRG,-2.380005
IVZ,0.237907
IRM,0.098392
JBHT,-0.269366
JEC,-0.279269
JNJ,-0.278159
JCI,-0.487083
JPM,0.397801
JNPR,-0.109614
KSU,0.38854
K,-0.248272
KEY,0.159286
